text,intent
navigate me to extras,extras_screen
take me to extras,extras_screen
throw me to extras,extras_screen
take me to menus,extras_screen
I want to go to extras,extras_screen
I want to go to menus,extras_screen
please get me to extras,extras_screen
please show me additional options,extras_screen
please show me extras options,extras_screen
please show me extras,extras_screen
I want to sign out,sign_out_screen
I want to log out,sign_out_screen
I want to close the app,sign_out_screen
sign me out,sign_out_screen
log me out,sign_out_screen
end the app,sign_out_screen
close the app,sign_out_screen
sign me off,sign_out_screen
open extras screen,extras_screen
navigate me to vision testing,vision_testing_menu_screen
take me to vision testing,vision_testing_menu_screen
throw me to vision testing,vision_testing_menu_screen
take me to vision testing,vision_testing_menu_screen
I want to go to vision testing,vision_testing_menu_screen
I want to go to vision testing,vision_testing_menu_screen
please get me to vision testing,vision_testing_menu_screen
please show me vision testings,vision_testing_menu_screen
please show me visions testing,vision_testing_menu_screen
please show me vision testing,vision_testing_menu_screen
navigate me to eyesight testing,vision_testing_menu_screen
take me to eyesight testing,vision_testing_menu_screen
throw me to eyesight testing,vision_testing_menu_screen
take me to eyesight testing,vision_testing_menu_screen
I want to go to eyesight testing,vision_testing_menu_screen
I want to go to eyesight testing,vision_testing_menu_screen
please get me to eyesight testing,vision_testing_menu_screen
please show me eyesight testings,vision_testing_menu_screen
please show me visions testing,vision_testing_menu_screen
please show me eyesight testing,vision_testing_menu_screen
navigate me to eye sight testing,vision_testing_menu_screen
take me to eye sight testing,vision_testing_menu_screen
throw me to eye sight testing,vision_testing_menu_screen
take me to eye sight testing,vision_testing_menu_screen
I want to go to eye sight testing,vision_testing_menu_screen
I want to go to eye sight testing,vision_testing_menu_screen
please get me to eye sight testing,vision_testing_menu_screen
please show me eye sight testings,vision_testing_menu_screen
please show me visions testing,vision_testing_menu_screen
please show me eye sight testing,vision_testing_menu_screen
navigate me to report,reports_screen
take me to report,reports_screen
throw me to report,reports_screen
take me to report,reports_screen
I want to go to report,reports_screen
I want to go to report,reports_screen
please get me to report,reports_screen
show me report,reports_screen
please show me report,reports_screen
navigate me to reports,reports_screen
take me to reports,reports_screen
throw me to reports,reports_screen
take me to reports,reports_screen
I want to go to reports,reports_screen
I want to go to reports,reports_screen
please get me to reports,reports_screen
show me reports,reports_screen
please show me reports,reports_screen
navigate me to my reports,reports_screen
take me to my reports,reports_screen
throw me to my reports,reports_screen
take me to my reports,reports_screen
I want to go to my reports,reports_screen
I want to go to my reports,reports_screen
please get me to my reports,reports_screen
show me my reports,reports_screen
please show me my reports,reports_screen
navigate me to maps,nearby_medicos_screen
take me to maps,nearby_medicos_screen
throw me to maps,nearby_medicos_screen
take me to maps,nearby_medicos_screen
I want to go to maps,nearby_medicos_screen
I want to go to menus,nearby_medicos_screen
please get me to maps,nearby_medicos_screen
please show me additional maps,nearby_medicos_screen
please show me doctors,nearby_medicos_screen
please show me maps,nearby_medicos_screen
show me nearby doctors,nearby_medicos_screen
show me nearby optometrists,nearby_medicos_screen
nearby eye doctors,nearby_medicos_screen
navigate me to dashboard,main_dashboard_screen
take me to dashboard,main_dashboard_screen
throw me to dashboard,main_dashboard_screen
take me to menus,main_dashboard_screen
I want to go to dashboard,main_dashboard_screen
please get me to dashboard,main_dashboard_screen
please show me dashboard,main_dashboard_screen
please show me dashboard,main_dashboard_screen
navigate me to main screen,main_dashboard_screen
take me to main screen,main_dashboard_screen
throw me to main screen,main_dashboard_screen
take me to menus,main_dashboard_screen
I want to go to main screen,main_dashboard_screen
please get me to main screen,main_dashboard_screen
please show me main screen,main_dashboard_screen
please show me main screen,main_dashboard_screen
